2025-04-26 23:23:32,00:00:00,Dark,GANO,850
2025-04-26 23:23:36,00:00:00,Dark,GANO,850
2025-04-26 23:23:37,00:00:00,Dark,GANO,850
2025-04-26 23:23:40,00:00:00,Dark,GANO,850
2025-04-26 23:23:40,00:00:00,Dark,GANO,850
2025-04-26 23:23:40,00:00:00,Dark,GANO,850
2025-04-26 23:23:41,00:00:00,Dark,GANO,850
2025-04-26 23:23:41,00:00:00,Dark,GANO,850
2025-04-26 23:23:42,00:00:00,Dark,GANO,850
2025-04-26 23:23:42,00:00:00,Dark,GANO,850
2025-04-26 23:23:42,00:00:00,Dark,GANO,850
2025-04-26 23:23:43,00:00:00,Dark,GANO,850
2025-04-27 10:06:59,00:02:58,ByDarkDragon89,GANO,800
2025-04-27 10:10:14,00:00:10,,GANO,800
2025-04-27 18:30:35,00:00:29,Dark,GANO,1000
2025-04-27 18:49:09,00:00:55,Dark,GANO,920
2025-04-27 18:50:31,00:00:21,Darl,GANO,960
2025-04-27 19:29:13,00:00:39,Pablo,GANO,920
2025-04-27 20:57:44,00:01:22,Dark,PERDIO,-110
2025-04-27 22:46:36,00:00:48,1,GANO,30
2025-04-27 22:49:44,00:00:09,2,PERDIO,0
2025-04-27 23:07:44,00:00:18,1,GANO,50
2025-04-27 23:08:09,00:16:41,1,GANO,90
2025-04-28 00:49:31,00:00:40,2,GANO,30
2025-04-28 06:21:31,00:00:09,Dark,PERDIO,0
2025-04-28 06:21:55,00:01:37,Dark,GANO,40
2025-04-28 06:29:38,00:00:24,1,PERDIO,0
